;data;preco
493;2022-12-14;83,33
494;2022-12-13;80,14
495;2022-12-12;78,00
496;2022-12-09;76,37
497;2022-12-08;76,02
498;2022-12-07;77,11
499;2022-12-06;79,92
500;2022-12-05;83,36
501;2022-12-02;86,54
502;2022-12-01;86,28
503;2022-11-30;85,61
504;2022-11-29;83,22
505;2022-11-28;83,50
506;2022-11-25;83,40
507;2022-11-24;85,59
508;2022-11-23;85,90
509;2022-11-22;88,65
510;2022-11-21;88,44
511;2022-11-18;88,93
512;2022-11-17;91,00
513;2022-11-16;92,61
514;2022-11-15;94,30
515;2022-11-14;93,59
516;2022-11-11;96,37
517;2022-11-10;94,25
518;2022-11-09;93,05
519;2022-11-08;96,85
520;2022-11-07;99,87
521;2022-11-04;99,53
522;2022-11-03;95,29
523;2022-11-02;96,07
524;2022-11-01;95,12
525;2022-10-31;93,30
526;2022-10-28;94,64
527;2022-10-27;94,17
528;2022-10-26;92,93
529;2022-10-25;91,76
530;2022-10-24;91,57
531;2022-10-21;91,82
532;2022-10-20;91,52
533;2022-10-19;91,34
534;2022-10-18;89,46
535;2022-10-17;91,04
536;2022-10-14;92,22
537;2022-10-13;95,16
538;2022-10-12;93,44
539;2022-10-11;95,17
540;2022-10-10;97,13
541;2022-10-07;98,88
542;2022-10-06;95,65
543;2022-10-05;94,35
544;2022-10-04;93,74
545;2022-10-03;90,68
546;2022-09-30;88,90
547;2022-09-29;89,41
548;2022-09-28;89,55
549;2022-09-27;85,97
550;2022-09-26;82,55
551;2022-09-23;84,29
552;2022-09-22;90,40
553;2022-09-21;89,86
554;2022-09-20;89,62
555;2022-09-19;89,43
556;2022-09-16;89,43
557;2022-09-15;89,28
558;2022-09-14;92,83
559;2022-09-13;92,04
560;2022-09-12;93,45
561;2022-09-09;91,68
562;2022-09-08;87,99
563;2022-09-07;86,83
564;2022-09-06;91,43
565;2022-09-05;94,22
566;2022-09-02;93,09
567;2022-09-01;92,24
568;2022-08-31;96,55
569;2022-08-30;99,34
570;2022-08-26;101,13
571;2022-08-25;98,81
572;2022-08-24;99,87
573;2022-08-23;99,49
574;2022-08-22;95,06
575;2022-08-19;96,45
576;2022-08-18;96,35
577;2022-08-17;97,22
578;2022-08-16;95,36
579;2022-08-15;98,25
580;2022-08-12;103,70
581;2022-08-11;107,19
582;2022-08-10;105,06
583;2022-08-09;103,81
584;2022-08-08;103,46
585;2022-08-05;100,31
586;2022-08-04;97,99
587;2022-08-03;101,82
588;2022-08-02;106,51
589;2022-08-01;106,09
590;2022-07-29;111,51
591;2022-07-28;109,68
592;2022-07-27;109,64
593;2022-07-26;107,32
594;2022-07-25;108,23
595;2022-07-22;106,77
596;2022-07-21;112,81
597;2022-07-20;115,86
598;2022-07-19;114,96
599;2022-07-18;117,27
600;2022-07-15;112,26
601;2022-07-14;107,74
602;2022-07-13;107,17
603;2022-07-12;106,98
604;2022-07-11;114,85
605;2022-07-08;113,95
606;2022-07-07;113,40
607;2022-07-06;108,54
608;2022-07-05;110,49
609;2022-07-04;121,80
610;2022-07-01;119,21
611;2022-06-30;119,78
612;2022-06-29;120,80
613;2022-06-28;122,21
614;2022-06-27;119,69
615;2022-06-24;117,36
616;2022-06-23;114,50
617;2022-06-22;115,54
618;2022-06-21;118,51
619;2022-06-20;118,25
620;2022-06-17;119,22
621;2022-06-16;125,78
622;2022-06-15;124,96
623;2022-06-14;127,02
624;2022-06-13;128,44
625;2022-06-10;127,44
626;2022-06-09;128,47
627;2022-06-08;129,20
628;2022-06-07;126,89
629;2022-06-06;124,99
630;2022-06-03;125,68
631;2022-06-01;122,20
632;2022-05-31;125,53
633;2022-05-30;123,01
634;2022-05-27;121,19
635;2022-05-26;119,81
636;2022-05-25;116,41
637;2022-05-24;115,77
638;2022-05-23;115,13
639;2022-05-20;113,63
640;2022-05-19;113,22
641;2022-05-18;110,04
642;2022-05-17;112,89
643;2022-05-16;114,86
644;2022-05-13;112,12
645;2022-05-12;108,06
646;2022-05-11;107,70
647;2022-05-10;102,61
648;2022-05-09;106,67
649;2022-05-06;113,86
650;2022-05-05;112,11
651;2022-05-04;110,53
652;2022-05-03;104,94
653;2022-05-02;108,36
654;2022-04-29;108,36
655;2022-04-28;105,78
656;2022-04-27;103,30
657;2022-04-26;102,89
658;2022-04-25;99,27
659;2022-04-22;105,15
660;2022-04-21;107,20
661;2022-04-20;105,05
662;2022-04-19;105,49
663;2022-04-18;110,83
664;2022-04-14;110,83
665;2022-04-13;108,49
666;2022-04-12;104,42
667;2022-04-11;97,92
668;2022-04-08;101,26
669;2022-04-07;99,83
670;2022-04-06;100,81
671;2022-04-05;106,60
672;2022-04-04;108,15
673;2022-04-01;106,13
674;2022-03-31;107,29
675;2022-03-30;115,59
676;2022-03-29;112,79
677;2022-03-28;114,50
678;2022-03-25;122,67
679;2022-03-24;123,98
680;2022-03-23;127,52
681;2022-03-22;121,53
682;2022-03-21;122,29
683;2022-03-18;114,32
684;2022-03-17;113,50
685;2022-03-16;104,61
686;2022-03-15;105,14
687;2022-03-14;110,39
688;2022-03-11;118,11
689;2022-03-10;114,54
690;2022-03-09;116,58
691;2022-03-08;133,18
692;2022-03-07;129,02
693;2022-03-04;123,86
694;2022-03-03;115,36
695;2022-03-02;118,94
696;2022-03-01;110,93
697;2022-02-28;103,08
698;2022-02-25;98,56
699;2022-02-24;101,29
700;2022-02-23;99,29
701;2022-02-22;98,73
702;2022-02-21;98,95
703;2022-02-18;96,18
704;2022-02-17;95,28
705;2022-02-16;97,44
706;2022-02-15;98,43
707;2022-02-14;101,66
708;2022-02-11;97,50
709;2022-02-10;96,37
710;2022-02-09;94,95
711;2022-02-08;96,07
712;2022-02-07;97,28
713;2022-02-04;96,86
714;2022-02-03;92,99
715;2022-02-02;91,43
716;2022-02-01;90,24
717;2022-01-31;92,35
718;2022-01-28;91,47
719;2022-01-27;90,70
720;2022-01-26;91,22
721;2022-01-25;89,49
722;2022-01-24;87,74
723;2022-01-21;89,75
724;2022-01-20;89,75
725;2022-01-19;89,64
726;2022-01-18;88,83
727;2022-01-17;87,82
728;2022-01-14;87,17
729;2022-01-13;85,80
730;2022-01-12;85,83
731;2022-01-11;84,98
732;2022-01-10;81,56
733;2022-01-07;82,28
734;2022-01-06;81,99
735;2022-01-05;80,60
736;2022-01-04;79,39
737;2022-01-03;78,25
738;2021-12-31;77,24
739;2021-12-30;78,61
740;2021-12-29;78,63
741;2021-12-27;75,24
742;2021-12-24;75,24
743;2021-12-23;76,26
744;2021-12-22;74,69
745;2021-12-21;72,85
746;2021-12-20;70,51
747;2021-12-17;72,97
748;2021-12-16;74,64
749;2021-12-15;73,71
750;2021-12-14;73,37
751;2021-12-13;74,12
752;2021-12-10;74,98
753;2021-12-09;74,10
754;2021-12-08;75,94
755;2021-12-07;75,54
756;2021-12-06;73,38
757;2021-12-03;70,71
758;2021-12-02;70,56
759;2021-12-01;69,53
760;2021-11-30;70,86
761;2021-11-29;73,34
762;2021-11-26;72,37
763;2021-11-25;82,05
764;2021-11-24;82,37
765;2021-11-23;83,43
766;2021-11-22;80,97
767;2021-11-19;80,24
768;2021-11-18;82,45
769;2021-11-17;80,67
770;2021-11-16;82,85
771;2021-11-15;81,94
772;2021-11-12;82,90
773;2021-11-11;83,40
774;2021-11-10;82,91
775;2021-11-09;84,52
776;2021-11-08;83,22
777;2021-11-05;82,43
778;2021-11-04;80,15
779;2021-11-03;81,10
780;2021-11-02;84,42
781;2021-11-01;84,51
782;2021-10-29;83,10
783;2021-10-28;83,40
784;2021-10-27;84,12
785;2021-10-26;85,11
786;2021-10-25;84,85
787;2021-10-22;85,43
788;2021-10-21;84,58
789;2021-10-20;85,76
790;2021-10-19;85,02
791;2021-10-18;84,13
792;2021-10-15;84,67
793;2021-10-14;83,86
794;2021-10-13;83,53
795;2021-10-12;83,53
796;2021-10-11;83,75
797;2021-10-08;82,17
798;2021-10-07;82,34
799;2021-10-06;81,39
800;2021-10-05;82,72
801;2021-10-04;81,44
802;2021-10-01;79,40
803;2021-09-30;77,81
804;2021-09-29;77,86
805;2021-09-28;78,30
806;2021-09-27;78,85
807;2021-09-24;77,42
808;2021-09-23;76,44
809;2021-09-22;75,50
810;2021-09-21;73,65
811;2021-09-20;73,59
812;2021-09-17;74,64
813;2021-09-16;75,14
814;2021-09-15;74,84
815;2021-09-14;73,05
816;2021-09-13;72,97
817;2021-09-10;72,44
818;2021-09-09;71,32
819;2021-09-08;72,36
820;2021-09-07;71,52
821;2021-09-06;72,43
822;2021-09-03;73,07
823;2021-09-02;73,56
824;2021-09-01;71,99
825;2021-08-31;73,45
826;2021-08-27;72,26
827;2021-08-26;70,42
828;2021-08-25;72,12
829;2021-08-24;71,21
830;2021-08-23;69,07
831;2021-08-20;65,51
832;2021-08-19;66,80
833;2021-08-18;68,61
834;2021-08-17;69,40
835;2021-08-16;70,07
836;2021-08-13;70,90
837;2021-08-12;71,79
838;2021-08-11;71,99
839;2021-08-10;71,14
840;2021-08-09;69,65
841;2021-08-06;71,02
842;2021-08-05;72,14
843;2021-08-04;70,99
844;2021-08-03;73,24
845;2021-08-02;73,91
846;2021-07-30;77,72
847;2021-07-29;76,30
848;2021-07-28;75,09
849;2021-07-27;74,87
850;2021-07-26;74,79
851;2021-07-23;74,86
852;2021-07-22;74,25
853;2021-07-21;72,54
854;2021-07-20;70,03
855;2021-07-19;69,33
856;2021-07-16;74,46
857;2021-07-15;74,53
858;2021-07-14;75,74
859;2021-07-13;77,50
860;2021-07-12;76,77
861;2021-07-09;77,14
862;2021-07-08;75,07
863;2021-07-07;74,31
864;2021-07-06;75,81
865;2021-07-05;78,34
866;2021-07-02;77,51
867;2021-07-01;76,69
868;2021-06-30;76,94
869;2021-06-29;75,38
870;2021-06-28;74,78
871;2021-06-25;76,45
872;2021-06-24;75,95
873;2021-06-23;75,22
874;2021-06-22;74,92
875;2021-06-21;74,49
876;2021-06-18;73,10
877;2021-06-17;72,92
878;2021-06-16;73,88
879;2021-06-15;73,38
880;2021-06-14;72,27
881;2021-06-11;72,05
882;2021-06-10;71,65
883;2021-06-09;71,31
884;2021-06-08;71,39
885;2021-06-07;70,89
886;2021-06-04;71,30
887;2021-06-03;70,71
888;2021-06-02;70,60
889;2021-06-01;70,03
890;2021-05-28;69,36
891;2021-05-27;69,43
892;2021-05-26;68,93
893;2021-05-25;68,80
894;2021-05-24;68,59
895;2021-05-21;66,72
896;2021-05-20;65,18
897;2021-05-19;66,88
898;2021-05-18;69,01
899;2021-05-17;69,62
900;2021-05-14;69,24
901;2021-05-13;67,36
902;2021-05-12;69,62
903;2021-05-11;68,83
904;2021-05-10;68,61
905;2021-05-07;68,73
906;2021-05-06;68,62
907;2021-05-05;69,71
908;2021-04-30;67,73
909;2021-04-29;68,26
910;2021-04-28;67,08
911;2021-04-27;66,25
912;2021-04-26;65,50
913;2021-04-23;65,75
914;2021-04-22;65,07
915;2021-04-21;64,02
916;2021-04-20;65,34
917;2021-04-19;66,54
918;2021-04-16;65,98
919;2021-04-15;66,13
920;2021-04-14;66,11
921;2021-04-13;62,83
922;2021-04-12;62,38
923;2021-04-09;61,89
924;2021-04-08;62,09
925;2021-04-07;61,86
926;2021-04-06;61,47
927;2021-04-05;63,85
928;2021-04-01;63,85
929;2021-03-31;63,52
930;2021-03-30;63,28
931;2021-03-29;64,06
932;2021-03-26;63,77
933;2021-03-25;61,21
934;2021-03-24;63,70
935;2021-03-23;59,96
936;2021-03-22;63,89
937;2021-03-19;64,00
938;2021-03-18;62,11
939;2021-03-17;67,73
940;2021-03-16;67,95
941;2021-03-15;68,78
942;2021-03-12;68,87
943;2021-03-11;69,34
944;2021-03-10;67,53
945;2021-03-09;67,03
946;2021-03-08;68,00
947;2021-03-05;69,95
948;2021-03-04;67,32
949;2021-03-03;64,70
950;2021-03-02;63,17
951;2021-03-01;64,56
952;2021-02-26;65,86
953;2021-02-25;66,69
954;2021-02-24;66,85
955;2021-02-23;65,16
956;2021-02-22;64,73
957;2021-02-19;62,84
958;2021-02-18;64,09
959;2021-02-17;65,02
960;2021-02-16;63,96
961;2021-02-15;63,58
962;2021-02-12;62,47
963;2021-02-11;61,09
964;2021-02-10;61,17
965;2021-02-09;60,74
966;2021-02-08;60,17
967;2021-02-05;59,48
968;2021-02-04;58,98
969;2021-02-03;58,61
970;2021-02-02;57,62
971;2021-02-01;56,42
972;2021-01-29;55,25
973;2021-01-28;54,87
974;2021-01-27;55,07
975;2021-01-26;55,26
976;2021-01-25;55,44
977;2021-01-22;55,22
978;2021-01-21;55,68
979;2021-01-20;55,66
980;2021-01-19;55,38
981;2021-01-18;54,21
982;2021-01-15;54,80
983;2021-01-14;55,76
984;2021-01-13;55,52
985;2021-01-12;55,98
986;2021-01-11;54,84
987;2021-01-08;55,51
988;2021-01-07;53,70
989;2021-01-06;53,80
990;2021-01-05;53,16
991;2021-01-04;50,37
992;2020-12-31;51,22
993;2020-12-30;50,74
994;2020-12-29;50,44
995;2020-12-28;50,88
996;2020-12-24;50,88
997;2020-12-23;51,05
998;2020-12-22;49,88
999;2020-12-21;50,61
1000;2020-12-18;52,17
1001;2020-12-14;50,27
1002;2020-12-11;50,01
1003;2020-12-10;50,33
1004;2020-12-09;48,81
1005;2020-12-08;48,84
1006;2020-12-07;48,63
1007;2020-12-04;49,10
1008;2020-12-03;48,37
1009;2020-12-02;47,80
1010;2020-12-01;47,03
1011;2020-11-30;46,84
1012;2020-11-27;46,88
1013;2020-11-26;46,32
1014;2020-11-25;47,30
1015;2020-11-24;46,63
1016;2020-11-23;45,00
1017;2020-11-20;43,79
1018;2020-11-19;43,09
1019;2020-11-18;42,91
1020;2020-11-17;42,54
1021;2020-11-16;42,71
1022;2020-11-13;41,51
1023;2020-11-12;42,16
1024;2020-11-11;42,50
1025;2020-11-10;42,25
1026;2020-11-09;40,93
1027;2020-11-06;38,08
1028;2020-11-05;39,47
1029;2020-11-04;39,68
1030;2020-11-03;38,17
1031;2020-11-02;37,78
1032;2020-10-30;36,33
1033;2020-10-29;36,56
1034;2020-10-28;37,86
1035;2020-10-27;39,72
1036;2020-10-26;39,06
1037;2020-10-23;40,71
1038;2020-10-22;41,28
1039;2020-10-21;40,09
1040;2020-10-20;41,62
1041;2020-10-19;41,29
1042;2020-10-16;41,34
1043;2020-10-15;41,61
1044;2020-10-14;41,81
1045;2020-10-13;41,34
1046;2020-10-12;40,50
1047;2020-10-09;41,63
1048;2020-10-08;42,00
1049;2020-10-07;40,62
1050;2020-10-06;41,27
1051;2020-10-05;39,78
1052;2020-10-02;38,00
1053;2020-10-01;39,75
1054;2020-09-30;40,30
1055;2020-09-29;40,33
1056;2020-09-28;41,59
1057;2020-09-25;40,91
1058;2020-09-24;41,24
1059;2020-09-23;41,09
1060;2020-09-22;40,84
1061;2020-09-21;40,37
1062;2020-09-19;40,37
1063;2020-09-18;42,16
1064;2020-09-17;42,35
1065;2020-09-16;41,23
1066;2020-09-15;39,54
1067;2020-09-14;38,57
1068;2020-09-13;39,54
1069;2020-09-12;38,57
1070;2020-09-11;38,80
1071;2020-09-10;39,27
1072;2020-09-09;39,98
1073;2020-09-08;38,53
1074;2020-09-07;40,67
1075;2020-09-04;41,10
1076;2020-09-03;42,72
1077;2020-09-02;42,70
1078;2020-09-01;45,72
1079;2020-08-28;45,22
1080;2020-08-27;44,84
1081;2020-08-26;45,79
1082;2020-08-25;46,01
1083;2020-08-24;44,43
1084;2020-08-21;43,94
1085;2020-08-20;44,56
1086;2020-08-19;45,21
1087;2020-08-18;45,34
1088;2020-08-17;44,91
1089;2020-08-14;44,86
1090;2020-08-13;44,87
1091;2020-08-12;45,09
1092;2020-08-11;43,68
1093;2020-08-10;44,19
1094;2020-08-07;44,07
1095;2020-08-06;45,04
1096;2020-08-05;44,92
1097;2020-08-04;43,99
1098;2020-08-03;43,76
1099;2020-07-31;43,13
1100;2020-07-30;42,98
1101;2020-07-29;43,51
1102;2020-07-28;43,11
1103;2020-07-27;43,39
1104;2020-07-24;43,29
1105;2020-07-23;42,96
1106;2020-07-22;43,98
1107;2020-07-21;44,31
1108;2020-07-20;43,30
1109;2020-07-17;43,53
1110;2020-07-16;43,71
1111;2020-07-15;43,96
1112;2020-07-14;42,97
1113;2020-07-13;42,85
1114;2020-07-10;43,27
1115;2020-07-09;42,35
1116;2020-07-08;43,67
1117;2020-07-07;43,28
1118;2020-07-06;42,73
1119;2020-07-03;42,92
1120;2020-07-02;43,19
1121;2020-07-01;42,18
1122;2020-06-30;41,64
1123;2020-06-29;41,58
1124;2020-06-26;40,97
1125;2020-06-25;41,18
1126;2020-06-24;40,40
1127;2020-06-23;42,72
1128;2020-06-22;43,20
1129;2020-06-19;42,33
1130;2020-06-18;41,75
1131;2020-06-17;40,47
1132;2020-06-16;40,75
1133;2020-06-15;39,44
1134;2020-06-12;38,54
1135;2020-06-11;37,76
1136;2020-06-10;41,18
1137;2020-06-09;40,45
1138;2020-06-08;39,66
1139;2020-06-05;41,00
1140;2020-06-04;38,41
1141;2020-06-03;37,98
1142;2020-06-02;37,72
1143;2020-06-01;36,74
1144;2020-05-29;34,15
1145;2020-05-28;33,98
1146;2020-05-27;32,73
1147;2020-05-26;33,95
1148;2020-05-25;33,80
1149;2020-05-22;33,80
1150;2020-05-21;34,78
1151;2020-05-20;34,76
1152;2020-05-19;33,06
1153;2020-05-18;33,30
1154;2020-05-15;30,95
1155;2020-05-14;29,87
1156;2020-05-13;27,89
1157;2020-05-12;26,67
1158;2020-05-11;25,53
1159;2020-05-07;24,23
1160;2020-05-06;24,20
1161;2020-05-05;25,46
1162;2020-05-04;20,40
1163;2020-05-01;18,49
1164;2020-04-30;18,11
1165;2020-04-29;17,86
1166;2020-04-28;15,60
1167;2020-04-27;15,17
1168;2020-04-24;15,87
1169;2020-04-23;15,06
1170;2020-04-22;13,77
1171;2020-04-21;9,12
1172;2020-04-20;17,36
1173;2020-04-17;19,75
1174;2020-04-16;18,69
1175;2020-04-15;19,80
1176;2020-04-14;21,74
1177;2020-04-13;20,23
1178;2020-04-09;20,23
1179;2020-04-08;25,22
1180;2020-04-07;22,10
1181;2020-04-06;22,58
1182;2020-04-03;24,33
1183;2020-04-02;20,24
1184;2020-04-01;14,97
1185;2020-03-31;14,85
1186;2020-03-30;19,19
1187;2020-03-27;22,39
1188;2020-03-26;23,55
1189;2020-03-25;25,62
1190;2020-03-24;24,50
1191;2020-03-23;21,85
1192;2020-03-20;25,55
1193;2020-03-19;23,98
1194;2020-03-18;22,79
1195;2020-03-17;27,97
1196;2020-03-16;27,98
1197;2020-03-13;33,00
1198;2020-03-12;31,05
1199;2020-03-11;34,45
1200;2020-03-10;36,66
1201;2020-03-09;35,33
1202;2020-03-06;45,60
1203;2020-03-05;51,29
1204;2020-03-04;51,86
1205;2020-03-03;52,24
1206;2020-03-02;52,52
1207;2020-02-28;51,31
1208;2020-02-27;52,19
1209;2020-02-26;54,96
1210;2020-02-25;56,71
1211;2020-02-24;56,04
1212;2020-02-21;58,60
1213;2020-02-20;59,72
1214;2020-02-19;59,72
1215;2020-02-18;57,35
1216;2020-02-17;57,83
1217;2020-02-14;57,37
1218;2020-02-13;56,34
1219;2020-02-12;55,54
1220;2020-02-11;54,00
1221;2020-02-10;53,39
1222;2020-02-07;54,53
1223;2020-02-06;55,18
1224;2020-02-05;55,36
1225;2020-02-04;53,90
1226;2020-02-03;54,00
1227;2020-01-31;57,77
1228;2020-01-30;57,72
1229;2020-01-29;59,46
1230;2020-01-28;59,37
1231;2020-01-27;58,54
1232;2020-01-24;59,34
1233;2020-01-23;61,26
1234;2020-01-22;62,11
1235;2020-01-21;63,66
1236;2020-01-20;64,63
1237;2020-01-17;64,05
1238;2020-01-16;64,63
1239;2020-01-15;63,29
1240;2020-01-14;64,45
1241;2020-01-13;64,14
1242;2020-01-10;66,77
1243;2020-01-09;66,58
1244;2020-01-08;67,31
1245;2020-01-07;68,74
1246;2020-01-06;70,25
1247;2020-01-03;69,08
1248;2020-01-02;67,05
1249;2019-12-31;67,77
1250;2019-12-30;68,30
1251;2019-12-27;68,91
1252;2019-12-26;69,26
1253;2019-12-24;69,26
1254;2019-12-23;67,49
1255;2019-12-20;68,66
1256;2019-12-19;69,70
1257;2019-12-18;69,12
1258;2019-12-16;68,04
1259;2019-12-13;67,44
1260;2019-12-12;66,67
1261;2019-12-11;65,37
1262;2019-12-10;66,57
1263;2019-12-09;66,44
1264;2019-12-06;66,50
1265;2019-12-05;65,67
1266;2019-12-04;65,25
1267;2019-12-03;62,95
1268;2019-12-02;63,20
1269;2019-11-29;64,50
1270;2019-11-28;64,68
1271;2019-11-27;65,03
1272;2019-11-26;64,82
1273;2019-11-25;64,67
1274;2019-11-22;64,83
1275;2019-11-21;64,99
1276;2019-11-20;63,80
1277;2019-11-19;62,37
1278;2019-11-18;62,82
1279;2019-11-15;63,32
1280;2019-11-14;62,46
1281;2019-11-13;62,27
1282;2019-11-12;62,19
1283;2019-11-11;62,58
1284;2019-11-08;62,00
1285;2019-11-07;62,60
1286;2019-11-06;62,11
1287;2019-11-05;62,72
1288;2019-11-04;62,52
1289;2019-11-01;60,17
1290;2019-10-31;59,30
1291;2019-10-30;60,22
1292;2019-10-29;61,05
1293;2019-10-28;60,39
1294;2019-10-25;62,06
1295;2019-10-24;61,71
1296;2019-10-23;60,52
1297;2019-10-22;60,50
1298;2019-10-21;58,95
1299;2019-10-18;59,96
